関数y=ax^2,,,10000,名詞,一般,*,*,*,*,関数y=ax^2,カンスウワイイコールエーエックスニジョウ,カンスウワイイコールエーエックスニジョウ
y=ax^2,,,10000,名詞,一般,*,*,*,*,y=ax^2,ワイイコールエーエックスニジョウ,ワイイコールエーエックスニジョウ
m^2倍,,,10000,名詞,一般,*,*,*,*,m^2倍,エムニジョウバイ,エムニジョウバイ
x^2,,,10000,名詞,一般,*,*,*,*,x^2,エックスニジョウ,エックスニジョウ
2乗,,,1000,名詞,一般,*,*,*,*,2乗,ニジョウ,ニジョウ
絶対値,,,1000,名詞,一般,*,*,*,*,絶対値,ゼッタイチ,ゼッタイチ
制動距離,,,500,名詞,一般,*,*,*,*,制動距離,セイドウキョリ,セイドウキョリ
パラボラアンテナ,,,1000,名詞,一般,*,*,*,*,パラボラアンテナ,パラボラアンテナ,パラボラアンテナ
放物線,,,500,名詞,一般,*,*,*,*,放物線,ホウブツセン,ホウブツセン
停止距離,,,1000,名詞,一般,*,*,*,*,停止距離,テイシキョリ,テイシキョリ
4倍,,,100,名詞,一般,*,*,*,*,4倍,ヨンバイ,ヨンバイ
相似比,,,1000,名詞,一般,*,*,*,*,相似比,ソウジヒ,ソウジヒ
面積比,,,1000,名詞,一般,*,*,*,*,面積比,メンセキヒ,メンセキヒ
変域,,,1000,名詞,一般,*,*,*,*,変域,ヘンイキ,ヘンイキ
増加量,,,1000,名詞,一般,*,*,*,*,増加量,ゾウカリョウ,ゾウカリョウ
最大値,,,500,名詞,一般,*,*,*,*,最大値,サイダイチ,サイダイチ
最小値,,,500,名詞,一般,*,*,*,*,最小値,サイショウチ,サイショウチ
二次方程式,,,1000,名詞,一般,*,*,*,*,二次方程式,ニジホウテイシキ,ニジホウテイシキ
二次不等式,,,1000,名詞,一般,*,*,*,*,二次不等式,ニジフトウシキ,ニジフトウシキ
情報機器,,,500,名詞,一般,*,*,*,*,情報機器,ジョウホウキキ,ジョウホウキキ
平行移動,,,1000,名詞,一般,*,*,*,*,平行移動,ヘイコウイドウ,ヘイコウイドウ
y=a(x-p)^2+q,,,50000,名詞,一般,*,*,*,*,y=a(x-p)^2+q,*,*
x=p,,,50000,名詞,一般,*,*,*,*,x=p,*,*
(p. q),,,50000,名詞,一般,*,*,*,*,(p. q),*,*
(x. y),,,50000,名詞,一般,*,*,*,*,(x. y),*,*
(x. y/x),,,50000,名詞,一般,*,*,*,*,(x. y/x),*,*
(x. √y),,,50000,名詞,一般,*,*,*,*,(x. √y),*,*
y=ax^2+bx+c,,,20000,名詞,一般,*,*,*,*,y=ax^2+bx+c,*,*
f(x),,,10000,名詞,一般,*,*,*,*,f(x),*,*
ax^2+bx+c=0,,,20000,名詞,一般,*,*,*,*,ax^2+bx+c=0,*,*
共有点,,,5000,名詞,一般,*,*,*,*,共有点,キョウユウテン,キョウユウテン
位置関係,,,2000,名詞,一般,*,*,*,*,位置関係,イチカンケイ,イチカンケイ
外分,,,2000,名詞,一般,*,*,*,*,外分,ガイブン,ガイブン
対称軸,,,1000,名詞,一般,*,*,*,*,対称軸,タイショウジク,タイショウジク
